2023-04-20 17:24:19,821 INFO    MainThread:27031 [wandb_setup.py:_flush():76] Configure stats pid to 27031
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_setup.py:_flush():76] Loading settings from /home/jyhong/.config/wandb/settings
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_setup.py:_flush():76] Loading settings from /home/jyhong/DE_CNN-master/DE_CNN/wandb/settings
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cnn3.py', 'program': 'cnn3.py'}
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_init.py:_log_setup():507] Logging user logs to /home/jyhong/DE_CNN-master/DE_CNN/wandb/run-20230420_172419-mgbocr2c/logs/debug.log
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_init.py:_log_setup():508] Logging internal logs to /home/jyhong/DE_CNN-master/DE_CNN/wandb/run-20230420_172419-mgbocr2c/logs/debug-internal.log
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_init.py:init():547] calling init triggers
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {}
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_init.py:init():595] starting backend
2023-04-20 17:24:19,822 INFO    MainThread:27031 [wandb_init.py:init():599] setting up manager
2023-04-20 17:24:19,828 INFO    MainThread:27031 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-20 17:24:19,831 INFO    MainThread:27031 [wandb_init.py:init():605] backend started and connected
2023-04-20 17:24:19,834 INFO    MainThread:27031 [wandb_init.py:init():695] updated telemetry
2023-04-20 17:24:19,834 INFO    MainThread:27031 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-20 17:24:20,311 INFO    MainThread:27031 [wandb_run.py:_on_init():2176] communicating current version
2023-04-20 17:24:20,389 INFO    MainThread:27031 [wandb_run.py:_on_init():2185] got version response 
2023-04-20 17:24:20,389 INFO    MainThread:27031 [wandb_init.py:init():782] starting run threads in backend
2023-04-20 17:24:22,920 INFO    MainThread:27031 [wandb_run.py:_console_start():2157] atexit reg
2023-04-20 17:24:22,921 INFO    MainThread:27031 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-20 17:24:22,921 INFO    MainThread:27031 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-20 17:24:22,921 INFO    MainThread:27031 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-20 17:24:22,921 INFO    MainThread:27031 [wandb_init.py:init():824] run started, returning control to user process
2023-04-20 17:28:37,601 WARNING MsgRouterThr:27031 [router.py:message_loop():77] message_loop has been closed
